"അകം(1) അന്തരംഗം, മനസ്സ്‌" "അഗ - ഒളഗഡെ, അംതരംഗ, മനസ്സ്‌" "അകം - ഉള്ളം മനം, മനസു" "ലോനു - ലോപലിഭാഗം, മനസ്സു"
"അകം(2) ഉള്‍ഭാഗം" "അഗ - ഒളഗു, ഒളഗഡെ, ഒളഭാഗ" "അകം- ഉള്ളിടം" "ലോപല - അംതര്‍ഭാഗം"
"അകം (3) മുറി, അറ (തെക്കെയകം, വടക്കെയകം" "കോണെ - കൊട്ടഡി, കൊഠഡി" "അറൈ- വീട്ടിന്‍ ഉള്ളിടം" "ഗദി - ഇംടിലോപലിഅര, ഇംടിലോഒകഭാഗം"
"അകങ്കാല്‍ - ഉള്ളങ്കാല്‍" "അംഗാലു -ഹെജെജയകെളഭാഗ" "ഉള്ളങ്കാല്‍ - കാലിന്‍ അടിപ്പകുതി" "അരകാലു - അരികാലു, പാദം അഡുഗുഭാഗം"
"അകങ്കൈ - ഉള്ളങ്കൈ" "അംഗൈ - കരതള, കൈയഒളഭാഗ" "ഉള്ളങ്കൈ - രേകൈകള്‍ കാണപ്പടും കൈപ്പകുതി" "അരചേയി - കരതലു, ചേതിലോപലിഭാഗം"
"അകത്ത്‌ (1) ഉള്ളത്തില്‍, മനസ്സില്‍" "ഒളഗെ - അംതരംഗദല്ലി, മനദല്ലി" "ഉള്ളത്തില്‍ - മനതില്‍" "അംതരംഗലോ - മനസ്സുലോ"
"അകത്ത്‌ (2) മുറിയില്‍, അറയില്‍" "കോണയല്ലി" "അറൈയില്‍" "ഗദിലോ"
"അകത്തുക (1) വിസ്‌താരമാക്കുക" "അഗലിസു - അഗലമാഡു, വിസ്‌തരിസു" "അകറ്റു - വിരിവാക്കു" "വെഡല്‍(ലു)പുചേയു"
"അകത്തുക (2) അകറ്റുക, വേര്‍പെടുത്തുക" "അഗലിസു - ബേര്‍പഡിസു. ബേരെമാഡു" "വേറുപടുത്തു" "വിഡദീയു - വേരുചേയു"
"അകലം (1) വീതി, വിസ്‌താരം" "അഗല - വിസ്‌താര, വസ്‌തുവിന അഡ്ഡളതെ" "അകലം - കുറുക്കളവു" "വെഡല്‍(ലു)പു - പാര്‍ശ്വംനുംചി പാര്‍ ശ്വാനികി അഡ്ഡംഗാ ഉന്നവിഡിവി, വിസ്‌താരം"
"അകലം (2) ദൂരം, അകന്നിരിക്കുന്നത്‌" "ദൂര - ഹത്തിരവല്ലദ, സമീപവല്ലദ" "തൂരം - തൊലൈവു" "ദൂരം - ദവ്വു"
"അകലുക - ദൂരെയാകുക, വേര്‍പെടുക, വിട്ടൊഴിയുക" "അഗലു - ദൂരവാഗു, ബേരെയാഗു, ബിട്ടുഹോഗു" "അകല്‍ - പിരിന്തുപോ, വിലകു" "എഡബായു - എഡമഗു, ദൂരമവു, വേരവു"
"അകല്‍ച്ച - വിയോഗം, വേര്‍പാട്‌" "അഗലികെ - വിയോഗ, ബിട്ടുഹോഗുവികെ" "അകല്‍തല്‍ - അകലല്‍, അകല്‍കൈ, അകല്‍വു" "എഡബാടു - വിയോഗം, വിഡിപോവഡം"
"അകറ്റുക - ദൂരെയാക്കുക, ഇല്ലാതാക്കുക" "അഗലിസു - ദൂരമാഡു" "അകറ്റു - നീക്കു, അപ്പുറപ്പടുത്തു" "പാരദോലു - പാരദ്രോലു, ദൂരംചേയു, തൊലഗിംചു"
